name,url
Center Console,https://www.boattrader.com/boats/type-power/class-power-center/condition-used/
Saltwater Fishing,https://www.boattrader.com/boats/type-power/class-power-saltfish/condition-used/
Sport Fishing,https://www.boattrader.com/boats/type-power/class-power-sportfish/condition-used/
Flats and Bay Boats,https://www.boattrader.com/boats/type-power/class-power-bay+power-flats/condition-used/
Antique and Classic,https://www.boattrader.com/boats/type-power/class-power-antique/condition-used/
Catamaran,https://www.boattrader.com/boats/type-sail/class-sail-catamaran/condition-used/
Schooner,https://www.boattrader.com/boats/type-sail/class-sail-schooner/condition-used/
Sloop,https://www.boattrader.com/boats/type-sail/class-sail-sloop/condition-used/
Personal Watercraft,https://www.boattrader.com/boats/type-pwc/condition-used/
Dinghy,https://www.boattrader.com/boats/type-small/class-power-dinghy/condition-used/
Cruise Ships,https://www.boattrader.com/boats/type-power/class-power-cruiseship/condition-used/
House Boats,https://www.boattrader.com/boats/type-power/class-power-house/condition-used/
Mega Yachts,https://www.boattrader.com/boats/type-power/class-power-mega/condition-used/